id_cuve_journaliere,id_groupe
BEPANDA INTERNATIONAL,1
BEPANDA NATIONAL 1,2
BEPANDA NATIONAL 2,3
CT AKWA CENTRE,4
CT BONABERI 1,5
CT BONABERI 2,6
CT BASSA,7
CT AKWA NORD,8
POP BONANJO,9
LOGBESSOU CRTV,10
BEPANDA PETIT MARCHE,11
PK 21,12
LAQUINTINI,13
LYCEE PALMIER,14
CAMP DES OFFICIERS,15
MALANGUE,16
YASSA VILLAGE,17
NEWBEL MAGASIN,18
NDOCKPASSI 2,19
BONALOKA,20
LOGPOM SODICOMBO,21
BONAMOUSSADI VILLAGE,22
JAPOMA STADE,23
E.P. NEWBELL BAMILEKE,24
NDOGBONG SCAMTROPIC,25
MABANDA,26
NDOKOTI POSTE,27
BEPANDA LYCEE,28
BONENDALE,29
AC AKWA NORD,30
DATA CENTER 1,31
DATA CENTER 2,32
BTS MBOPI GENDARMERIE,33
