id_cuve_principale,id_site,capacite
6001,5001,40000
6002,5002,5000
6003,5003,5000
6004,5004,5000
6005,5005,5000
6006,5006,5000
6007,5007,5000
6008,5008,1000
6009,5009,
6010,5010,1000
6011,5011,1000
6012,5012,1000
6013,5013,800
6014,5014,1000
6015,5015,800
6016,5016,1000
6017,5017,1000
6018,5018,1000
6019,5019,1000
6020,5020,1000
6021,5021,1000
6022,5022,3000
6023,5023,800
6024,5024,400
6025,5025,400
6026,5026,1000
6027,5027,800
6028,5028,1000
6029,5029,300
6030,5030,
6031,5031,5000
