id_groupe;marque_groupe;puissance_groupe;compteur_horaire_groupe;
1;SDMO;830;1877;
2;SDMO;650;1014;
3;DEUTZ;450;7162;
4;AKSA;493;1283;
5;LEROY SOMMER;110;1185;
6;DEUTZ;185;8982;
7;AKSA;220;6725;
8;DEUTZ;350;5336;
9;AKSA;110;4059;
10;SDMO;33;1954;
11;LIONROCK;18;1644;
12;LIONROCK;18;1974;
13;LIONROCK;18;19;
14;HUAWEI;23;1164;
15;LIONROCK;18;73;
16;HUAWEI;23;1626;
17;LIONROCK;18;896;
18;ONIS VISA;22;0;
19;SDMO;22;663;
20;LIONROCK;18;2139;
21;LIONROCK;18;2139;
22;LIONROCK;18;1706;
23;PERKINS;60;5101;
24;HUAWEI;23;801;
25;LISTER PETTER;12,5;0;
26;LISTER PETTER;12,5;0;
27;no name;22;0;
28;HUAWEI;23;1231;
29;LIONROCK;18;4211;
30;LIONROCK;27;745;
31;CUMMINS;500;357;
32;CUMMINS;500;0;
33;KHOLERR;0;601;
