id_site,nom_site,localisation
5001,BEPANDA INTERNATIONAL,Douala
5002,BEPANDA NATIONAL 1,Douala
5003,BEPANDA NATIONAL 2,Douala
5004,CT AKWA CENTRE,Douala
5005,CT BONABERI,Douala
5006,CT BASSA,Douala
5007,CT AKWA NORD,Douala
5008,POP BONANJO,Douala
5009,LOGBESSOU CRTV,Douala
5010,BEPANDA PETIT MARCHE,Douala
5011,PK 21,Douala
5012,LAQUINTINI,Douala
5013,LYCEE PALMIER,Douala
5014,CAMP DES OFFICIERS,Douala
5015,MALANGUE,Douala
5016,YASSA VILLAGE,Douala
5017,NEWBELL MAGASIN,Douala
5018,ND0GPASSI 2,Douala
5019,BONALOKA,Douala
5020,LOGPOM SODICOMBO,Douala
5021,BONAMOUSSSADI VILLAGE,Douala
5022,JAPOMA STADE,Douala
5023,E. P.  NEWBELL BAMILEKE,Douala
5024,NDOGBONG SCAMTROPIC,Douala
5025,MABANDA,Douala
5026,NDOKOTTI POSTE,Douala
5027,BEPANDA LYCEE,Douala
5028,BONENDALE,Douala
5029,AC AKWA NORD,Douala
5030,BTS MBOPPI Gendarmerie,Douala
5031,DATA CENTER,Douala
